2454270.831	0.611	0.019
2454270.901	0.629	0.015
2454276.537	0.629	0.017
2454276.604	0.619	0.017
2454283.357	0.647	0.018
2454283.424	0.638	0.018
2454283.490	0.625	0.019
2454290.328	0.668	0.021
2454290.375	0.677	0.018
2454290.442	0.632	0.017
2454290.510	0.628	0.016
2454290.578	0.638	0.016
2454297.149	0.665	0.016
2454297.217	0.679	0.017
2454304.037	0.682	0.017
2454304.108	0.643	0.019
2454304.177	0.684	0.026
2454310.944	0.694	0.018
2454311.012	0.669	0.017
2454311.066	0.635	0.022
2454317.957	0.644	0.020
2456431.671	1.080	0.032
2456431.800	1.070	0.029
2456432.818	1.050	0.032
2456437.945	1.110	0.025
2456443.962	1.080	0.028
2456444.030	1.120	0.031
2456452.035	1.070	0.029
2456452.111	1.040	0.030
2456453.967	1.060	0.030
2456454.034	1.030	0.029
2456456.036	1.030	0.030
2456456.105	1.060	0.030
2456457.640	1.010	0.024
2456459.522	1.020	0.031
2456459.574	1.020	0.027
2456461.926	1.000	0.031
2456465.729	1.100	0.028
2456465.794	1.020	0.030
2456469.803	1.090	0.027
2456469.874	1.080	0.032
2456471.277	1.080	0.025
2456472.339	1.090	0.028
2456472.473	1.130	0.028
2456472.862	1.110	0.025
2456474.471	1.100	0.025
2456474.797	1.180	0.027
2456475.740	1.160	0.032
2456475.808	1.150	0.027
2456477.198	1.130	0.026
2456478.265	1.150	0.027
2456478.537	1.140	0.026
2456479.867	1.070	0.025
2456480.537	1.140	0.026
2456481.676	1.090	0.025
2456482.538	1.080	0.025
2456483.602	1.070	0.031
2456485.216	1.130	0.026
2456486.009	1.140	0.026
2456486.939	1.100	0.028
2456487.005	1.110	0.036
2456487.740	1.130	0.041
2456488.540	1.140	0.035
2456488.606	1.110	0.034
2456490.030	1.160	0.027
2456491.156	1.230	0.028
2456491.879	1.180	0.032
2456491.946	1.250	0.035
2456492.891	1.220	0.028
2456494.085	1.200	0.028
2456494.960	1.210	0.032
2456495.028	1.240	0.034
