2454270.833	0.625	0.018
2454270.905	0.632	0.015
2454276.539	0.671	0.017
2454276.606	0.663	0.017
2454283.359	0.701	0.019
2454283.427	0.701	0.019
2454283.492	0.707	0.020
2454290.329	0.802	0.023
2454290.378	0.796	0.020
2454290.445	0.796	0.020
2454290.513	0.801	0.019
2454290.582	0.790	0.018
2454297.152	0.742	0.018
2454297.220	0.751	0.018
2454304.040	0.865	0.021
2454304.109	0.822	0.022
2454304.178	0.835	0.028
2454310.947	0.814	0.020
2454311.014	0.839	0.021
2454311.067	0.848	0.026
2454317.959	0.722	0.021
2454318.026	0.708	0.023
2455961.730	1.860	0.051
2455965.945	1.620	0.034
2455969.961	1.530	0.032
2455973.630	1.520	0.039
2455974.117	1.530	0.032
2455981.675	1.420	0.030
2455986.418	1.400	0.029
2455990.018	1.606	0.027
2455990.371	1.570	0.036
2455990.484	1.530	0.045
2455994.568	1.570	0.033
2455997.836	1.590	0.035
2455998.369	1.510	0.037
2456002.129	1.670	0.035
2456005.875	1.840	0.038
2456010.019	1.740	0.037
2456010.488	1.720	0.037
2456014.007	1.540	0.036
2456014.074	1.530	0.037
2456014.275	1.530	0.037
2456014.341	1.500	0.036
2456018.353	1.480	0.033
2456022.370	1.410	0.030
2456026.447	1.300	0.027
2456029.933	1.220	0.027
2456034.149	1.160	0.025
2456034.198	1.160	0.029
2456037.876	1.160	0.025
2456038.075	1.140	0.027
2456041.635	1.160	0.025
2456042.217	1.190	0.031
2456045.896	1.150	0.024
2456049.978	1.070	0.023
2456053.660	1.160	0.025
2456058.208	1.610	0.034
2456062.003	1.820	0.038
2456065.609	1.910	0.039
2456073.771	2.030	0.042
2456077.637	2.030	0.042
2456081.792	1.970	0.041
2456085.938	2.170	0.045
2456090.071	2.220	0.046
2456094.287	2.010	0.041
2456098.020	1.650	0.035
2456098.370	1.600	0.038
2456102.381	1.430	0.030
2456106.186	1.290	0.027
2456110.382	1.430	0.030
2456113.922	1.810	0.038
2456118.205	1.820	0.038
2456126.485	2.210	0.045
2456129.772	2.180	0.045
2456133.716	2.340	0.048
2456141.722	2.390	0.049
2456145.730	2.350	0.049
2456153.680	3.260	0.066
2456157.756	3.240	0.066
2456161.632	2.930	0.061
2456161.693	2.870	0.068
2456165.772	2.820	0.058
2456169.780	2.370	0.049
