2454270.830	0.500	0.017
2454270.900	0.525	0.015
2454276.536	0.535	0.016
2454276.602	0.530	0.016
2454283.356	0.556	0.017
2454283.423	0.532	0.017
2454283.490	0.546	0.018
2454290.327	0.592	0.021
2454290.374	0.598	0.018
2454290.441	0.582	0.017
2454290.509	0.600	0.017
2454290.577	0.581	0.016
2454297.147	0.604	0.017
2454297.215	0.601	0.017
2454304.035	0.632	0.018
2454304.107	0.634	0.021
2454304.177	0.638	0.027
2454310.943	0.646	0.019
2454311.010	0.646	0.019
2454311.065	0.664	0.025
2454317.891	0.530	0.020
2454317.957	0.551	0.019
2454318.024	0.565	0.021
2454318.094	0.512	0.044
2456431.670	1.380	0.043
2456431.800	1.430	0.040
2456432.817	1.470	0.046
2456437.943	1.490	0.037
2456443.961	1.380	0.038
2456444.029	1.470	0.043
2456452.035	1.360	0.039
2456452.110	1.310	0.039
2456453.967	1.370	0.040
2456454.033	1.360	0.040
2456456.035	1.320	0.040
2456456.105	1.310	0.039
2456457.639	1.330	0.034
2456459.522	1.380	0.043
2456459.573	1.300	0.036
2456461.926	1.270	0.040
2456465.728	1.390	0.038
2456465.794	1.360	0.041
2456469.802	1.390	0.037
2456469.873	1.420	0.044
2456471.276	1.440	0.036
2456472.339	1.460	0.039
2456472.472	1.490	0.040
2456472.861	1.460	0.036
2456474.469	1.450	0.036
2456474.795	1.520	0.038
2456475.739	1.520	0.044
2456475.807	1.560	0.040
2456477.196	1.580	0.040
2456478.264	1.560	0.039
2456478.535	1.490	0.037
2456479.865	1.400	0.035
2456480.536	1.450	0.036
2456481.674	1.390	0.035
2456482.537	1.420	0.036
2456483.602	1.410	0.043
2456485.215	1.460	0.036
2456486.008	1.530	0.038
2456486.938	1.510	0.040
2456487.004	1.540	0.050
2456487.740	1.450	0.052
2456488.539	1.500	0.047
2456488.606	1.500	0.047
2456490.029	1.540	0.039
2456491.154	1.620	0.040
2456491.878	1.630	0.046
2456491.945	1.670	0.048
2456492.889	1.620	0.040
2456494.083	1.670	0.042
2456494.960	1.700	0.047
2456495.027	1.700	0.049
2456496.153	1.750	0.043
2456496.553	1.750	0.044
2456497.626	1.840	0.046
2456498.554	1.830	0.051
2456499.832	1.820	0.045
2456502.971	1.940	0.048
2456503.381	2.000	0.060
2456503.428	1.980	0.058
2456505.041	1.930	0.048
2456505.898	1.870	0.054
2456505.966	1.890	0.049
2456507.845	2.010	0.049
2456509.249	2.080	0.053
2456509.454	2.090	0.057
2456529.123	2.370	0.058
2456529.189	2.390	0.058
2456666.072	1.750	0.053
2456668.279	1.770	0.055
2456668.470	1.790	0.047
2456670.464	1.890	0.050
2456672.346	1.900	0.049
2456674.068	1.920	0.050
2456676.485	1.920	0.054
2456682.003	2.040	0.053
2456684.351	2.060	0.052
2456685.818	2.090	0.054
2456690.423	1.960	0.052
2456698.357	2.190	0.056
2456699.559	2.200	0.058
2456702.413	2.260	0.058
2456706.483	2.180	0.058
2456708.224	2.190	0.057
2456709.561	2.190	0.071
2456710.102	2.150	0.062
2456710.164	2.190	0.064
2456710.633	2.120	0.061
2456711.020	2.010	0.060
2456711.355	2.030	0.063
2456712.089	2.070	0.059
2456713.225	2.100	0.063
2456713.507	1.930	0.056
2456713.955	2.030	0.061
2456714.222	2.040	0.059
2456714.507	1.980	0.059
2456715.039	1.980	0.059
2456715.638	1.940	0.058
2456717.035	1.890	0.056
2456718.364	1.780	0.050
2456718.634	1.740	0.052
2456719.707	1.780	0.051
2456720.096	1.690	0.053
2456720.372	1.790	0.050
2456720.634	1.730	0.052
2456720.964	1.670	0.048
2456721.376	1.720	0.048
2456721.565	1.710	0.052
2456722.367	1.640	0.047
2456722.839	1.590	0.048
2456723.108	1.550	0.046
2456723.439	1.550	0.045
2456723.891	1.630	0.048
2456724.444	1.550	0.045
2456724.565	1.600	0.048
2456724.825	1.600	0.049
2456725.164	1.550	0.046
2456725.292	1.650	0.049
2456725.634	1.660	0.050
2456726.025	1.560	0.050
2456726.307	1.640	0.046
