2454270.835	0.711	0.025
2454270.909	0.710	0.020
2454276.542	0.718	0.023
2454276.609	0.730	0.023
2454283.361	0.733	0.024
2454283.429	0.718	0.024
2454283.494	0.749	0.026
2454290.331	0.728	0.028
2454290.380	0.745	0.024
2454290.448	0.758	0.023
2454290.516	0.719	0.021
2454290.586	0.758	0.021
2454297.156	0.736	0.021
2454297.223	0.722	0.022
2454304.043	0.724	0.022
2454304.111	0.781	0.027
2454304.179	0.762	0.035
2454310.950	0.759	0.023
2454311.017	0.753	0.023
2454311.068	0.698	0.029
2454317.961	0.727	0.027
2456431.673	0.952	0.036
2456431.804	0.972	0.032
2456432.820	0.958	0.036
2456437.952	0.980	0.027
2456443.966	1.020	0.032
2456444.033	0.986	0.034
2456452.114	0.935	0.033
2456453.971	0.958	0.033
2456454.037	0.958	0.033
2456456.039	0.947	0.034
2456456.108	1.010	0.035
2456457.647	0.976	0.027
2456459.525	0.952	0.036
2456459.578	0.995	0.032
2456461.929	0.985	0.037
2456465.733	0.947	0.030
2456465.797	0.923	0.034
2456469.808	0.975	0.030
2456469.876	1.000	0.037
2456472.344	0.979	0.030
2456472.478	1.040	0.031
2456472.870	1.000	0.027
2456474.478	1.010	0.028
2456474.804	1.040	0.029
2456475.743	0.993	0.034
2456475.814	1.040	0.030
2456477.205	1.020	0.028
2456478.272	1.050	0.029
2456478.545	1.010	0.028
2456479.874	1.000	0.028
2456480.545	1.010	0.028
2456481.683	1.000	0.028
2456482.546	1.020	0.028
2456483.605	0.983	0.035
2456485.224	1.050	0.029
2456486.016	1.060	0.029
2456486.944	1.020	0.031
2456487.007	0.963	0.039
2456487.742	1.070	0.047
2456487.808	1.010	0.044
2456488.542	1.010	0.038
2456488.609	1.050	0.039
2456491.163	1.060	0.029
2456491.882	1.090	0.035
2456491.949	1.080	0.036
2456492.899	1.080	0.029
2456494.092	1.100	0.030
2456494.964	1.100	0.035
2456495.031	1.050	0.036
2456496.162	1.110	0.030
2456496.561	1.070	0.030
2456497.634	1.140	0.031
2456498.558	1.210	0.039
2456502.980	1.150	0.031
2456503.384	1.130	0.040
2456503.431	1.170	0.040
2456503.498	1.150	0.040
2456505.050	1.140	0.031
2456505.902	1.130	0.039
2456505.973	1.120	0.032
2456507.854	1.150	0.031
2456509.256	1.160	0.033
2456509.458	1.170	0.037
2456512.509	1.220	0.030
2456512.776	1.130	0.035
2456514.933	1.210	0.034
2456515.449	1.220	0.028
2456516.988	1.230	0.028
2456518.784	1.190	0.028
2456518.852	1.230	0.031
2456523.056	1.250	0.033
2456524.726	1.250	0.028
2456526.997	1.250	0.029
2456528.598	1.240	0.028
2456533.194	1.250	0.033
2456533.261	1.260	0.032
2456533.328	1.270	0.034
2456533.395	1.200	0.032
2456534.945	1.280	0.029
2456537.275	1.280	0.029
2456538.735	1.260	0.031
2456538.804	1.270	0.030
2456542.960	1.250	0.029
2456547.421	1.330	0.030
2456547.479	1.310	0.032
2456613.761	1.140	0.026
2456615.971	1.090	0.025
2456617.696	1.120	0.026
2456620.232	1.160	0.027
2456622.297	1.190	0.027
2456626.033	1.230	0.028
2456630.301	1.230	0.031
2456632.185	1.210	0.028
2456635.981	1.210	0.028
2456638.443	1.180	0.027
2456640.449	1.170	0.027
2456641.589	1.150	0.026
2456645.655	1.170	0.027
2456647.795	1.170	0.027
2456650.185	1.160	0.027
2456652.254	1.160	0.027
2456654.331	1.120	0.026
2456656.130	1.110	0.032
2456658.261	1.100	0.025
2456660.129	1.130	0.026
2456664.141	1.110	0.026
2456666.075	1.130	0.041
2456668.282	1.150	0.043
2456668.475	1.120	0.034
2456670.470	1.150	0.035
2456672.352	1.150	0.034
2456674.074	1.220	0.036
2456676.489	1.170	0.038
2456682.009	1.190	0.035
2456684.358	1.150	0.033
2456685.824	1.200	0.035
2456690.429	1.170	0.036
2456698.363	1.220	0.034
2456706.489	1.240	0.037
2456708.230	1.220	0.036
2456709.563	1.230	0.048
2456710.105	1.220	0.042
2456710.167	1.180	0.042
2456710.637	1.210	0.040
2456711.023	1.110	0.040
2456711.357	1.150	0.043
2456712.093	1.150	0.039
2456713.228	1.210	0.043
2456713.510	1.150	0.040
2456713.958	1.180	0.042
2456714.225	1.240	0.042
2456714.510	1.150	0.041
2456715.042	1.200	0.042
2456717.038	1.150	0.040
2456718.368	1.100	0.036
2456718.637	1.100	0.039
2456719.710	1.180	0.039
2456720.099	1.080	0.040
2456720.376	1.140	0.037
2456720.637	1.060	0.038
2456720.967	1.160	0.038
2456721.380	1.040	0.035
2456721.569	1.120	0.040
2456722.370	1.080	0.037
2456722.842	1.080	0.039
2456723.111	1.080	0.038
2456723.443	1.030	0.035
2456723.894	1.040	0.037
2456724.448	1.060	0.036
2456724.568	1.110	0.039
2456724.828	1.090	0.040
2456725.167	1.040	0.037
2456725.295	1.050	0.037
2456725.638	1.070	0.038
2456726.028	1.120	0.043
2456726.311	1.080	0.035
2456727.029	1.076	0.027
2456727.310	1.070	0.034
2456727.510	1.070	0.039
2456727.845	1.110	0.038
2456728.580	1.080	0.037
2456728.845	1.050	0.035
2456729.642	1.130	0.038
2456730.036	1.100	0.039
2456730.373	1.070	0.035
2456730.634	1.090	0.036
2456730.964	1.080	0.035
2456731.367	1.060	0.038
2456731.631	1.130	0.037
2456732.046	1.080	0.036
2456732.372	1.110	0.035
2456732.716	1.070	0.036
2456732.980	1.090	0.036
2456733.231	1.100	0.035
2456733.575	1.040	0.035
2456733.971	1.080	0.036
2456734.238	1.060	0.033
2456734.512	1.100	0.037
2456734.897	1.130	0.038
2456735.298	1.130	0.035
2456735.638	1.070	0.036
2456735.971	1.030	0.034
2456736.298	1.150	0.037
2456736.563	1.100	0.038
2456736.897	1.080	0.037
2456737.511	1.200	0.042
2456737.897	1.110	0.040
2456738.231	1.140	0.037
2456738.513	1.190	0.043
2456738.897	1.190	0.041
2456739.231	1.150	0.037
2456739.584	1.170	0.042
2456739.982	1.170	0.039
