2454270.836	0.574	0.022
2454270.912	0.622	0.018
2454276.544	0.673	0.021
2454276.611	0.676	0.022
2454283.363	0.674	0.023
2454283.430	0.661	0.022
2454283.495	0.650	0.024
2454290.332	0.770	0.030
2454290.382	0.743	0.023
2454290.450	0.771	0.023
2454290.519	0.761	0.022
2454290.589	0.755	0.021
2454297.158	0.716	0.021
2454297.225	0.710	0.021
2454304.045	0.801	0.024
2454304.112	0.772	0.027
2454304.180	0.798	0.036
2454310.952	0.779	0.024
2454311.019	0.797	0.024
2454311.069	0.768	0.029
2454317.962	0.674	0.027
2456431.674	1.790	0.055
2456431.806	1.660	0.046
2456432.821	1.810	0.054
2456437.955	1.810	0.044
2456443.968	1.830	0.049
2456444.034	1.760	0.051
2456452.115	1.680	0.051
2456454.038	1.570	0.070
2456456.040	1.650	0.051
2456456.109	1.580	0.050
2456457.650	1.630	0.041
2456459.526	1.580	0.050
2456459.580	1.620	0.043
2456461.930	1.690	0.051
2456465.735	1.750	0.048
2456465.798	1.680	0.051
2456469.810	1.560	0.042
2456469.877	1.760	0.054
2456472.346	1.820	0.048
2456472.480	1.840	0.048
2456472.873	1.870	0.045
2456474.481	1.820	0.044
2456474.807	2.010	0.049
2456475.744	1.950	0.056
2456475.817	2.030	0.051
2456477.207	1.910	0.048
2456478.275	1.920	0.048
2456478.547	1.800	0.044
2456479.877	1.690	0.041
2456480.547	1.830	0.046
2456481.686	1.680	0.041
2456482.548	1.720	0.042
2456483.606	1.750	0.050
2456485.227	1.860	0.045
2456486.019	1.890	0.047
2456486.947	1.930	0.049
2456487.008	1.900	0.052
2456487.743	1.900	0.059
2456487.809	1.870	0.057
2456488.543	2.010	0.059
2456488.610	1.950	0.058
2456491.166	2.200	0.052
2456491.884	2.250	0.062
2456491.950	2.260	0.066
2456492.902	2.210	0.053
2456494.095	2.270	0.055
2456494.966	2.140	0.056
2456495.032	2.250	0.062
2456496.165	2.390	0.058
2456496.563	2.340	0.057
2456497.636	2.580	0.062
2456498.560	2.700	0.073
2456499.844	2.250	0.053
2456502.983	2.630	0.062
2456503.385	2.620	0.078
2456503.432	2.720	0.079
2456505.053	2.550	0.060
2456505.903	2.580	0.070
2456505.975	2.620	0.065
2456507.857	2.840	0.066
2456509.259	2.920	0.070
2456509.459	2.940	0.078
2456666.076	2.390	0.067
2456668.477	2.440	0.062
2456670.471	2.550	0.066
2456672.354	2.570	0.063
2456674.076	2.560	0.064
2456676.491	2.660	0.069
2456682.011	2.870	0.072
2456684.361	2.700	0.065
2456685.826	2.730	0.066
2456690.430	2.560	0.065
2456698.365	3.060	0.075
2456706.490	2.990	0.074
2456708.232	3.050	0.074
2456710.106	2.820	0.076
2456710.168	2.800	0.078
2456710.638	2.570	0.071
2456711.024	2.680	0.074
2456711.358	2.630	0.077
2456712.094	2.620	0.071
2456713.229	2.590	0.072
2456713.512	2.590	0.072
2456713.959	2.570	0.074
2456714.226	2.690	0.074
2456714.511	2.590	0.071
2456715.043	2.550	0.070
2456717.039	2.350	0.065
2456718.369	2.280	0.061
2456718.638	2.250	0.064
2456719.712	2.280	0.062
2456720.100	2.250	0.066
2456720.378	2.210	0.059
2456720.638	2.180	0.062
2456720.969	2.060	0.057
2456721.382	2.120	0.058
2456721.570	2.060	0.060
2456722.372	2.010	0.056
2456722.843	1.990	0.057
2456723.113	1.970	0.056
2456723.444	2.020	0.056
2456723.895	1.980	0.057
2456724.449	1.950	0.055
2456724.569	1.990	0.059
2456724.829	1.910	0.057
2456725.168	1.950	0.056
2456725.296	1.910	0.056
2456725.639	1.970	0.058
2456726.028	2.050	0.064
2456726.313	1.990	0.054
2456727.030	1.999	0.042
2456727.312	2.090	0.055
2456727.511	2.010	0.056
2456727.846	2.000	0.057
2456728.581	2.020	0.060
2456728.846	2.050	0.062
2456729.643	2.070	0.058
2456730.037	2.030	0.058
2456730.375	2.210	0.060
2456730.635	2.160	0.058
2456730.965	2.060	0.056
2456731.632	2.100	0.057
2456732.047	2.110	0.058
2456732.373	2.120	0.056
2456732.717	2.120	0.058
2456732.981	2.080	0.058
2456733.233	2.110	0.056
2456733.576	2.120	0.058
2456733.973	2.140	0.057
2456734.240	2.150	0.056
2456734.898	2.230	0.062
2456735.300	2.240	0.057
2456735.639	2.280	0.062
2456735.973	2.230	0.059
2456736.300	2.490	0.065
2456736.565	2.580	0.070
2456736.898	2.610	0.070
2456737.512	2.680	0.071
2456737.898	2.670	0.072
2456738.233	2.710	0.072
2456738.514	2.790	0.080
2456738.898	2.890	0.079
2456739.233	2.890	0.076
2456739.585	2.950	0.081
2456739.983	3.010	0.078
2456740.319	2.960	0.077
2456740.519	3.070	0.080
2456740.914	3.090	0.083
2456741.319	3.050	0.080
2456741.512	3.070	0.082
2456741.898	3.120	0.081
2456742.233	3.050	0.078
2456742.716	3.290	0.089
2456742.965	3.260	0.084
2456743.373	3.400	0.085
2456743.513	3.250	0.083
2456744.440	3.403	0.060
2456744.513	3.300	0.082
2456745.378	3.490	0.095
2456745.582	3.500	0.092
2456745.903	3.520	0.092
2456746.241	3.450	0.089
2456746.574	3.380	0.088
2456746.899	3.410	0.088
2456747.698	3.650	0.093
2456748.032	3.460	0.089
2456748.511	3.570	0.094
2456749.099	3.360	0.087
2456749.376	3.370	0.086
2456749.512	3.400	0.087
2456750.453	3.500	0.092
2456750.578	3.510	0.093
2456751.566	3.260	0.086
2456752.037	3.200	0.091
2456752.633	3.130	0.093
2456753.037	3.070	0.081
2456753.366	3.020	0.080
2456753.702	2.950	0.088
2456753.913	2.850	0.076
2456754.169	2.800	0.075
2456754.368	2.850	0.072
2456755.046	2.720	0.074
2456755.368	2.770	0.074
2456755.520	2.660	0.071
2456756.100	2.710	0.073
2456756.305	2.700	0.073
2456756.771	2.860	0.076
